ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,TradeID,Multiplier,RelatedTradeID,Strike,ReportDate,Expiry,DateTime,Put/Call,TradeDate,PrincipalAdjustFactor,SettleDateTarget,TransactionType,Exchange,Quantity,TradePrice,TradeMoney,Proceeds,Taxes,IBCommission,IBCommissionCurrency,NetCash,ClosePrice,Open/CloseIndicator,Notes/Codes,CostBasis,FifoPnlRealized,MtmPnl,OrigTradePrice,OrigTradeDate,OrigTradeID,OrigOrderID,OrigTransactionID,Buy/Sell,ClearingFirmID,IBOrderID,TransactionID,IBExecID,RelatedTransactionID,RTN,BrokerageOrderID,OrderReference,VolatilityOrderLink,ExchOrderID,ExtExecID,OrderTime,OpenDateTime,HoldingPeriodDateTime,WhenRealized,WhenReopened,LevelOfDetail,ChangeInPrice,ChangeInQuantity,OrderType,TraderID,IsAPIOrder,AccruedInterest,InitialInvestment,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,6798046728,1,,,2024-10-18,,2024-10-18;123416,,2024-10-18,,2024-10-21,ExchTrade,ARCA,100,33.92,3392,-3392,0,-1.0048,USD,-3393.0048,33.85,O,P,3393.0048,0.0,-7.0,0.0,,,0.0,0.0,BUY,,3545351903.0,29594159897.0,0000eb81.67123ccd.01.01,,,01303fe3.0001d294.6711e353.0001,,,,0d.9fa3.11.01.000e41:106934,2024-10-18;123416,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,6798046746,1,,,2024-10-18,,2024-10-18;123416,,2024-10-18,,2024-10-21,ExchTrade,DARK,100,33.92,3392,-3392,0,-0.0072,USD,-3392.0072,33.85,O,P,3392.0072,0.0,-7.0,0.0,,,0.0,0.0,BUY,,3545351903.0,29594159921.0,0000d6a5.67128ccd.01.01,,,01303fe3.0001d294.6711e353.0001,,,,E202410180002214846001,2024-10-18;123416,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,6798046750,1,,,2024-10-18,,2024-10-18;123416,,2024-10-18,,2024-10-21,ExchTrade,IBKRATS,100,33.915,3391.5,-3391.5,0,-0.5072,USD,-3392.0072,33.85,O,P,3392.0072,0.0,-6.5,0.0,,,0.0,0.0,BUY,,3545351903.0,29594159929.0,00013dd1.67125564.01.01,,,01303fe3.0001d294.6711e353.0001,,,,376213250B,2024-10-18;123416,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,6798046756,1,,,2024-10-18,,2024-10-18;123416,,2024-10-18,,2024-10-21,ExchTrade,IBKRATS,47,33.92,1594.24,-1594.24,0,-0.238384,USD,-1594.478384,33.85,O,P,1594.478384,0.0,-3.29,0.0,,,0.0,0.0,BUY,,3545351903.0,29594159937.0,00016e4a.671272e0.01.01,,,01303fe3.0001d294.6711e353.0001,,,,376779200B,2024-10-18;123416,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,6798046763,1,,,2024-10-18,,2024-10-18;123416,,2024-10-18,,2024-10-21,ExchTrade,DARK,350,33.9193,11871.755,-11871.755,0,-1.7752,USD,-11873.5302,33.85,O,IA;P,11873.5302,0.0,-24.255,0.0,,,0.0,0.0,BUY,,3545351903.0,29594159944.0,00030e5e.67440352.01.01,,,01303fe3.0001d294.6711e353.0001,,,,372761476B,2024-10-18;123416,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,6798046765,1,,,2024-10-18,,2024-10-18;123416,,2024-10-18,,2024-10-21,ExchTrade,DARK,3,33.92,101.76,-101.76,0,-0.015216,USD,-101.775216,33.85,O,P,101.775216,0.0,-0.21,0.0,,,0.0,0.0,BUY,,3545351903.0,29594159951.0,0000d6a5.67128cce.01.01,,,01303fe3.0001d294.6711e353.0001,,,,E202410180002214848001,2024-10-18;123416,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,7086997232,1,,,2024-12-31,,2024-12-31;142636,,2024-12-31,,2025-01-02,ExchTrade,IEX,-100,26.3,-2630,2630,0,-1.094514,USD,2628.905486,26.34,C,P,-3393.0048,-764.099314,-4.0,0.0,,,0.0,0.0,SELL,,3711344246.0,30692010257.0,000154a9.67743009.01.01,,,01303fe3.0001d294.67737f9d.0001,,,,MTCH62203AWSymL00000xNP,2024-12-31;142636,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,COMMON,CELH,CELSIUS HOLDINGS INC,71364351,US15118V2079,ISIN,15118V207,US15118V2079,BBG000NY37X4,NASDAQ,,CELH,,,,US,7086997292,1,,,2024-12-31,,2024-12-31;142636,,2024-12-31,,2025-01-02,ExchTrade,DARK,-600,26.305,-15783,15783,0,-3.0815674,USD,15779.9184326,26.34,C,P,-20353.7982,-4573.879768,-21.0,0.0,,,0.0,0.0,SELL,,3711344246.0,30692010356.0,0000e494.6775e980.01.01,,,01303fe3.0001d294.67737f9d.0001,,,,2412310003119587808,2024-12-31;142636,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,ETF,COWZ,PACER US CASH COWS 100 ETF,259025784,US69374H8815,ISIN,69374H881,US69374H8815,BBG00FJQN6F3,BATS,,COWZ,,,,US,7255828868,1,,,2025-02-11,,2025-02-11;130638,,2025-02-11,,2025-02-12,ExchTrade,ISLAND,78,57.765,4505.67,-4505.67,0,-1.00273,USD,-4506.67273,57.84,O,P,4506.67273,0.0,5.85,0.0,,,0.0,0.0,BUY,,3812890872.0,31330451903.0,00013d04.67aba321.01.01,,,01303fe3.0001d294.67aaeb5c.0001,,,,0361811561,2025-02-11;130638,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,ETF,COWZ,PACER US CASH COWS 100 ETF,259025784,US69374H8815,ISIN,69374H881,US69374H8815,BBG00FJQN6F3,BATS,,COWZ,,,,US,7255828872,1,,,2025-02-11,,2025-02-11;130638,,2025-02-11,,2025-02-12,ExchTrade,DARK,100,57.77,5777,-5777,0,-0.0046,USD,-5777.0046,57.84,O,P,5777.0046,0.0,7.0,0.0,,,0.0,0.0,BUY,,3812890872.0,31330451907.0,0002158b.67ab671e.01.01,,,01303fe3.0001d294.67aaeb5c.0001,,,,253532704320359910,2025-02-11;130638,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,ETF,COWZ,PACER US CASH COWS 100 ETF,259025784,US69374H8815,ISIN,69374H881,US69374H8815,BBG00FJQN6F3,BATS,,COWZ,,,,US,7255828875,1,,,2025-02-11,,2025-02-11;130638,,2025-02-11,,2025-02-12,ExchTrade,IEX,122,57.77,7047.94,-7047.94,0,-0.50427,USD,-7048.44427,57.84,O,P,7048.44427,0.0,8.54,0.0,,,0.0,0.0,BUY,,3812890872.0,31330451910.0,000154a9.67aba407.01.01,,,01303fe3.0001d294.67aaeb5c.0001,,,,MTCH64202+gVXor00000IHf,2025-02-11;130638,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,ETF,COWZ,PACER US CASH COWS 100 ETF,259025784,US69374H8815,ISIN,69374H881,US69374H8815,BBG00FJQN6F3,BATS,,COWZ,,,,US,7255828876,1,,,2025-02-11,,2025-02-11;130638,,2025-02-11,,2025-02-12,ExchTrade,IEX,100,57.77,5777,-5777,0,-0.5035,USD,-5777.5035,57.84,O,P,5777.5035,0.0,7.0,0.0,,,0.0,0.0,BUY,,3812890872.0,31330451914.0,000154a9.67aba408.01.01,,,01303fe3.0001d294.67aaeb5c.0001,,,,MTCH64202+gVXor00000IHi,2025-02-11;130638,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,ETF,COWZ,PACER US CASH COWS 100 ETF,259025784,US69374H8815,ISIN,69374H881,US69374H8815,BBG00FJQN6F3,BATS,,COWZ,,,,US,7255828879,1,,,2025-02-11,,2025-02-11;130638,,2025-02-11,,2025-02-12,ExchTrade,IEX,200,57.77,11554,-11554,0,-1.007,USD,-11555.007,57.84,O,P,11555.007,0.0,14.0,0.0,,,0.0,0.0,BUY,,3812890872.0,31330451918.0,000154a9.67aba406.01.01,,,01303fe3.0001d294.67aaeb5c.0001,,,,MTCH64202+gVXor00000IHc,2025-02-11;130638,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
U13241525,,,USD,1,STK,ETF,COWZ,PACER US CASH COWS 100 ETF,259025784,US69374H8815,ISIN,69374H881,US69374H8815,BBG00FJQN6F3,BATS,,COWZ,,,,US,7706717095,1,,,2025-05-23,,2025-05-23;102327,,2025-05-23,,2025-05-27,ExchTrade,ARCA,-600,53.1,-31860,31860,0,-3.1206,USD,31856.8794,53.29,C,,-34664.6321,-2807.7527,-114.0,0.0,,,0.0,0.0,SELL,,4087634326.0,33039971327.0,0000eb81.68305734.01.01,,,01303fe3.0001d294.682ff845.0001,,,,0d.9fa3.12.01.000f09:96616,2025-05-23;101802,,,,,EXECUTION,0.0,0.0,LMT,,N,0.0,,,,,0.0,0.0
